Name of the Movie;IMDB;Critics(CRS);Dir_Nominated;Dir_Prized;Writ_Nominated;Writ_Prize;Act_Nominated;Acto_Prized;Action;Animation;Comedy;Drama;Other;G;PG;PG-13;R;Production Budget (PB);Box Office(US);;;;;;;;
Suicide Squad;6,3;40;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;175000000;325021779;;;;;;;;
The Great Wall;6,1;42;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;150000000;45125480;;;;;;;;
The Secret Life of Pets;6,6;61;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;75000000;368305960;;;;;;;;
Fantastic Beasts and where to find them;7,5;66;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;180000000;234018657;;;;;;;;
Moana;7,7;81;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;150000000;248752120;;;;;;;;
Passengers;7;41;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;110000000;100014092;;;;;;;;
Gold;6,7;49;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;20000000;7222964;;;;;;;;
Manchester by the Sea;7,9;96;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;8500000;47695120;;;;;;;;
Hidden Figures;7,8;74;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;25000000;169200624;;;;;;;;
Lion;8,1;69;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;12000000;51694854;;;;;;;;
Hacksaw Ridge;8,2;71;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;40000000;67115062;;;;;;;;
Arrival;8;81;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;47000000;100501349;;;;;;;;
Trolls;6,5;56;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;125000000;153694574;;;;;;;;
Why him?;6,3;39;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;38000000;60312925;;;;;;;;
Sausage Party;6,3;66;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;19000000;97661826;;;;;;;;
Sully;7,5;74;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;60000000;125065700;;;;;;;;
Moonlight;7,5;99;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1500000;27850912;;;;;;;;
Noctural Animals;7,5;67;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;22500000;10639114;;;;;;;;
